id,smt_finish_seconds
2699,257.2152091691584
332,535.8003073912497
3282,107.10874698806896
5891,1489.3554001008256
858,627.8238725583647
4019,176.19341167410875
6213,367.1189209052793
4329,328.24046495202856
1650,886.1962553053631
346,548.0251263480598
2221,788.9996626054178
2574,666.5269407338617
4774,884.7254325554677
7342,256.4373440974592
4883,469.97776165096684
2638,382.4810351362779
328,534.596792524339
4552,328.8908427291651
7391,261.02166614071933
4184,237.95962428515236
7820,582.2658831035776
5942,192.23608241661867
1941,546.5561498958991
4270,285.420714990602
3838,322.0800946032234
6836,318.9398399360916
3478,203.56260643298123
6358,195.90186802754522
7300,250.29203121884325
3312,172.59515781957703
1295,931.1187300541785
2614,670.3258269193711
5250,843.351987931133
3315,176.76672723374742
3206,254.48227902721237
3053,483.54929139542025
3470,202.45151563074808
7438,272.2611293948463
1451,1823.2254048061573
4915,502.072691785788
7356,252.6369065107557
1893,421.63586294157943
2126,583.7680843410726
6930,353.71116269083586
3908,421.6982892881688
1746,772.9596454663474
7172,190.49046848358057
1053,733.9208413029622
2851,246.62649554616428
7679,189.86323183083135
3196,247.96999609921636
1617,3156.4163489283264
2406,638.5929789507593
7003,428.1543473695344
533,747.4338347207878
6916,358.7084803324395
3852,335.9544239211132
3484,204.25835697807514
5180,702.8895762027364
7058,1285.7695049049437
17,515.0541809958679
2519,464.6512865328958
339,543.2154880339596
3946,177.24617247006063
6500,227.21158952164024
196,426.3983115978612
7265,222.99308893232995
5200,731.5420195970137
6159,282.44874933947756
532,758.1840299220571
5505,548.9996841555495
3995,163.28342332351582
6475,223.78455135329887
5113,631.3230528254875
3454,204.44278303788695
5820,583.4184875260365
7856,202.55011992107228
2276,2290.569200925308
6428,209.58505687771344
2629,264.33991341985336
1739,743.9864011336275
4101,216.01844423738333
2337,525.5060415522751
7387,260.3691921392663
1025,583.2870932254898
4695,483.92807862159555
6105,246.75835345625148
6606,262.19606863881074
7810,273.9911850428257
2755,357.28810519752176
5097,615.4015547421092
1421,1490.8811318457583
3856,331.38862222755324
7687,217.47704210002018
6753,294.90308890579786
4803,392.4631888625046
2948,396.08272448659625
2344,529.9795905546678
5897,981.8660680575181
1287,904.0745653322198
5166,692.988457522057
6778,302.3184782145478
2142,620.3201408739869
1074,1949.638939228453
2884,270.9652115863313
7864,313.78814225442943
3458,211.72545804516307
4520,284.0307203420534
4894,482.6044554967051
2318,489.0741474912378
6666,278.8993908047569
7388,250.20792697143986
7854,289.05571603186524
6639,272.5382149517605
3535,218.37753806854982
6740,285.184927817642
2865,265.30649343360307
5434,491.5188355806298
4885,477.66873187245244
2471,836.2430239111858
3817,310.04499215224996
5367,405.5216217272067
3574,232.21937902149477
1720,679.0016375102767
425,601.6106819534416
5269,881.6133344389832
7741,277.52181906528074
4628,425.36086860530736
3997,171.00981437197396
1912,646.646910075346
6990,401.3136216539883
1744,762.6059729869747
5856,742.2432116248676
3827,323.14924734197507
2992,237.50628808039994
5608,659.250831744171
2903,299.3833142910563
6263,1058.053036500925
6850,313.5775029107114
2164,639.9160619655007
1022,556.8869464106651
2306,451.7122511499286
5163,680.28293521086
1400,1104.199835122295
2746,331.7288288020618
6329,207.21033484412686
4320,313.77499918630076
4325,314.23451220123246
4317,309.4087194282064
6206,347.84498486691064
2945,390.44064959372224
6767,292.4976383001108
1385,894.6122542633876
5096,614.5972905851893
970,298.97525173041174
1193,984.2532706840218
3731,275.71580547265216
7631,278.6381708514477
4765,766.2372006585688
6984,397.39821797501213
5294,976.6419485529902
3221,276.539457276744
1419,1063.2635813990755
7313,247.81759792480972
2825,613.3097621606006
548,787.8959067969976
6467,238.46920200487034
4656,629.0658342790196
5879,1005.7240284626387
5641,701.3341027919462
5493,549.96053654316
6623,260.10881046590504
957,1581.5460977475643
6922,351.86785265849477
2111,566.1474504460036
4534,285.3134206112989
1790,681.1335062835794
5624,688.4359605014731
2987,202.80858870399322
2354,546.7874404656318
2351,538.2463070806281
6417,224.9048655508749
228,448.6525410312254
69,485.8963884361373
2516,422.3005638277322
1079,1122.1413688948774
373,572.168913469426
468,639.082843719736
4236,263.77382095666525
50,304.1709438051996
2453,728.2951597826275
5375,422.0471736348194
6045,359.6295766424946
6590,260.57678351248467
4108,221.46156711841763
6422,218.736764817594
2868,256.15832371832454
5071,598.138269142598
5749,991.7196993386023
1352,1737.8353651867621
1180,933.7377292020884
7642,324.4847739873247
91,558.6092778811011
1972,826.0129411311041
7256,218.57559427048847
3443,207.14204403649939
2458,741.1406373097562
6124,258.94922014358366
5465,517.8655618504346
437,610.1661995743685
4410,350.3619421725732
3383,189.99584909786165
4716,575.3400808443323
1315,1162.7461644795471
4998,554.7075674773174
179,405.83391188253916
682,430.68712096967215
5728,1558.3355334895055
1005,489.61545544546664
7062,2316.9532147871632
6141,262.5513903103911
1020,536.3339044688781
2921,321.98985737486043
4121,220.1034041473564
2550,563.6899846009027
3767,287.60922061044687
3320,172.14212867724996
5187,706.1925050747202
7490,302.3373485012834
7740,314.79441493526315
994,483.84333349929705
6678,273.10567692856114
6008,350.8607580988021
